downloadcount	movie
	
	
	
69	[美国][西部世界 第二季][Westworld.S02E01.Journey.Into.Night.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S02E01][1080P][自带英文字幕]
	
125	"[日本][2017][烟花/烟花动画版/烟花,应该和谁看(港)/升空的焰火,从下面看？还是从侧面看？][Fireworks.2017.BluRay.1080p.DTS-HD.MA.5.1.x264-MTeam][剧情/动画][Blu-Ray][1080P][附件中文字幕]"
	
655	[美国][2017][雷神3:诸神黄昏/雷神索尔3:诸神黄昏(台)/雷神奇侠3:诸神黄昏(港)/雷神3:诸神的黄昏][Thor.Ragnarok.IMAX.2017.BluRay.720p.x264.AC3-CMCT][动作/奇幻/冒险][Blu-Ray][720P][自带中英字幕]
	
812	[美国][2017][至暗时刻/最黑暗的时刻(台)/黑暗对峙(港)/至暗之时/黑暗时刻][Darkest.Hour.2017.720p.BluRay.x264-WiKi][剧情/传记/战争/其他][Blu-Ray][720P][附件中英字幕]
	
1707	[美国][2017][水形物语/忘形水(港)/水底情深(台)][The.Shape.of.Water.2017.720p.BluRay.DTS.x264-SPARKS][剧情/冒险/其他][Blu-Ray][720P][附件中英字幕]
	
1755	[美国][2017][三块广告牌/意外(台)/广告牌杀人事件(港)][Three.Billboards.Outside.Ebbing.Missouri.2017.720p.BluRay.x264.DTS-WiKi][剧情/犯罪][Blu-Ray][720P][附件中英字幕]
	
738	[日本][2016][声之形/聲の形][A.Silent.Voice.2016.BluRay.720p.DTS.DD.2Audio.x264.10bit-OnlyHD][山田尚子][剧情/爱情/动画][Blu-Ray][720P][附件中文字幕]
	
198	[2016][合集二:IMDB前50名电影720p合集][IMDB.Top50.Pack.720p.BluRay.x264-MiXED][其余合集请自行搜索][Blu-Ray][720P]
	
340	[美国][1937][迪士尼经典长篇动画合集][Disney's.Full.Length.Animated.Classics.Pack.1937-2013.720p-MiXED][动画][720P]
	
443	[美国][2011][全球票房Top50电影合集][Top50.Pack.720p.BluRay.x264.DTS][2011-12-10][720P]
	
289	[美国][2011][豆瓣Top250][TLF][MiniSD]
	
131	[美国][2018][12勇士/12猛汉(台)/12壮士(港)][12.Strong.2018.720p.BluRay.x264.DTS-HDChina][克里斯·海姆斯沃斯][动作/冒险/战争][Blu-Ray][720P][自带英文字幕]
	
125	[美国][2018][贼巢/贼斗(港)/极盗战(台)][Den.of.Thieves.2018.UNRATED.720p.BluRay.x264-WiKi][动作/惊悚/纪录][Blu-Ray][720P][附件中英字幕]
	
753	[韩国][2018][环太平洋2/雷霆再起][PacificRim: Uprising ][剧情/动作/科幻][DVD][720P][自带中文字幕]
	
958	[大陆][2018][唐人街探案2][Detective.Chinatown.Vol.2.2018.WEB-DL.4K.H264.AAC-TJUPT][剧情/喜剧][WEB-DL][4K][自带中英字幕]
	
166	[美国][2018][彼得兔][Peter.Rabbit.2018.720p.BluRay.x264-DRONES][喜剧/家庭/冒险][Blu-Ray][720P][附件中英字幕]
	
140	[大陆][2018][妈妈咪鸭][Duck.Duck.Goose.2018.1080p.WEB-DL.AVC.AAC-HQC][喜剧/家庭/动画][WEB-DL][1080P][自带中文字幕]
	
